Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
680.00,+68.49%,317.05,318.45,319.85,311.69,unch,unch,0,1,unch,52.41%,-0.5878,Put,02/02/26
690.00,+70.97%,325.25,326.68,328.10,305.00,unch,unch,0,2,unch,52.42%,-0.5945,Put,01/23/26
700.00,+73.45%,333.55,334.98,336.40,321.45,unch,unch,0,4,unch,52.45%,-0.6010,Put,01/30/26
710.00,+75.93%,341.95,343.35,344.75,0.00,unch,unch,0,0,unch,52.49%,-0.6073,Put,N/A
720.00,+78.40%,350.30,351.73,353.15,0.00,unch,unch,0,0,unch,52.52%,-0.6136,Put,N/A
730.00,+80.88%,358.70,360.13,361.55,0.00,unch,unch,0,0,unch,52.54%,-0.6198,Put,N/A
740.00,+83.36%,367.15,368.60,370.05,0.00,unch,unch,0,0,unch,52.58%,-0.6371,Put,N/A
750.00,+85.84%,375.75,377.33,378.90,378.30,+15.55,+4.29%,3,1,+1,53.10%,-0.6390,Put,"13:15 ET"
760.00,+88.31%,384.25,385.70,387.15,0.00,unch,unch,0,0,unch,52.62%,-0.6565,Put,N/A
770.00,+90.79%,392.90,394.50,396.10,0.00,unch,unch,0,0,unch,52.71%,-0.6615,Put,N/A
780.00,+93.27%,401.55,403.15,404.75,0.00,unch,unch,0,0,unch,52.72%,-0.6724,Put,N/A
790.00,+95.75%,410.20,411.67,413.15,0.00,unch,unch,0,0,unch,52.66%,-0.6823,Put,N/A
800.00,+98.23%,419.10,420.65,422.20,421.00,-0.30,-0.07%,2,135,unch,52.94%,-0.6854,Put,"13:18 ET"
810.00,+100.70%,427.70,429.33,430.95,0.00,unch,unch,0,0,unch,52.75%,-0.6921,Put,N/A
820.00,+103.18%,436.50,438.15,439.80,429.42,unch,unch,6,2,unch,52.77%,-0.6998,Put,"10:25 ET"
830.00,+105.66%,445.35,447.00,448.65,0.00,unch,unch,0,0,unch,52.80%,-0.7047,Put,N/A
840.00,+108.14%,454.25,455.90,457.55,438.50,unch,unch,0,1,unch,52.83%,-0.7114,Put,01/14/26
850.00,+110.61%,463.35,464.90,466.45,460.69,unch,unch,2,1,unch,52.90%,-0.7157,Put,"11:02 ET"
860.00,+113.09%,472.10,473.75,475.40,462.36,unch,unch,0,4,unch,52.88%,-0.7224,Put,01/29/26
870.00,+115.57%,481.10,482.75,484.40,471.24,unch,unch,0,4,unch,52.92%,-0.7499,Put,01/29/26
"Downloaded from Barchart.com as of 02-04-2026 01:54pm CST"
