TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
01/09/26,Sold Short,OPTN,TSLA Dec 15 '28 $550 Call,-8,116066.66,145.09,5.31,TSLA Dec 15 '28 $550 Call
01/09/26,Bought To Open,OPTN,TSLA Dec 15 '28 $350 Call,8,-168077.31,210.09,5.31,TSLA Dec 15 '28 $350 Call
01/06/26,Sold Short,OPTN,TSLA Feb 06 '26 $450 Call,-2,3538.66,17.7,1.33,TSLA Feb 06 '26 $450 Call
01/06/26,Bought To Open,OPTN,TSLA Feb 06 '26 $580 Call,2,-229.33,1.14,1.33,TSLA Feb 06 '26 $580 Call
01/06/26,Bought To Open,OPTN,TSLA Feb 06 '26 $380 Put,2,-1291.33,6.45,1.33,TSLA Feb 06 '26 $380 Put
01/06/26,Sold Short,OPTN,TSLA Feb 06 '26 $450 Put,-2,6796.66,33.99,1.33,TSLA Feb 06 '26 $450 Put
01/06/26,Bought To Open,OPTN,TSLA Jun 16 '28 $400 Call,2,-34617.33,173.08,1.33,TSLA Jun 16 '28 $400 Call
01/06/26,Sold Short,OPTN,TSLA Jun 16 '28 $550 Call,-2,25414.66,127.08,1.33,TSLA Jun 16 '28 $550 Call
01/02/26,Bought To Open,OPTN,TSLA Jun 16 '28 $400 Call,2,-36911.33,184.55,1.33,TSLA Jun 16 '28 $400 Call
01/02/26,Sold Short,OPTN,TSLA Jun 16 '28 $550 Call,-2,27308.66,136.55,1.33,TSLA Jun 16 '28 $550 Call
01/02/26,Bought To Open,OPTN,TSLA Jun 16 '28 $500 Call,2,-30417.33,152.08,1.33,TSLA Jun 16 '28 $500 Call
01/02/26,Sold Short,OPTN,TSLA Jun 16 '28 $700 Call,-2,21314.66,106.58,1.33,TSLA Jun 16 '28 $700 Call
12/26/25,Sold,EQ,TSLA,-326,156479.95,480,0,TESLA INC UNSOLICITED TRADE
12/22/25,Option Assigned,OPTN,TSLA Dec 19 '25 $450 Call,1,0,0,0,TSLA Dec 19 '25 $450 Call
12/22/25,Option Exercised,OPTN,TSLA Dec 19 '25 $400 Call,-1,0,0,0,TSLA Dec 19 '25 $400 Call
12/22/25,Sold,EQ,TSLA,-100,44999.98,450,0,TESLA INC
12/22/25,Bought,EQ,TSLA,100,-40000,400,0,TESLA INC
12/18/25,Sold Short,OPTN,TSLA Dec 19 '25 $450 Call,-1,3697.34,36.98,0.66,TSLA Dec 19 '25 $450 Call
12/18/25,Bought To Open,OPTN,TSLA Dec 19 '25 $400 Call,1,-8678.66,86.78,0.66,TSLA Dec 19 '25 $400 Call
12/16/25,Bought To Cover,OPTN,TSLA Jan 09 '26 $450 Call,1,-4200.66,42,0.66,TSLA Jan 09 '26 $450 Call
12/15/25,Option Assigned,OPTN,TSLA Dec 12 '25 $440 Call,3,0,0,0,TSLA Dec 12 '25 $440 Call
12/15/25,Sold,EQ,TSLA,-300,131999.95,440,0,TESLA INC
12/10/25,Bought To Open,OPTN,TSLA Jun 16 '28 $350 Call,1,-20905.66,209.05,0.66,TSLA Jun 16 '28 $350 Call
12/10/25,Sold Short,OPTN,TSLA Jun 16 '28 $450 Call,-1,16775.34,167.76,0.66,TSLA Jun 16 '28 $450 Call
12/10/25,Sold Short,OPTN,TSLA Jan 09 '26 $450 Call,-1,2164.34,21.65,0.66,TSLA Jan 09 '26 $450 Call
12/09/25,Sold Short,OPTN,TSLA Dec 12 '25 $440 Call,-3,2848,9.5,1.99,TSLA Dec 12 '25 $440 Call
11/28/25,Dividend,EQ,SBRA,0,0.3,0,0,SABRA HEALTH CARE REIT INC REC 11/28/25 PAY 11/28/25 RATE 0.00000000 QTY 0.00000000
07/02/25,Sold To Close,OPTN,TSLA Jul 03 '25 $295 Put,-10,193.32,0.2,6.65,TSLA Jul 03 '25 $295 Put
07/02/25,Sold To Close,OPTN,TSLA Jul 03 '25 $295 Put,-1,19.33,0.2,0.67,TSLA Jul 03 '25 $295 Put
07/02/25,Sold To Close,OPTN,TSLA Jul 03 '25 $295 Put,-2,38.66,0.2,1.33,TSLA Jul 03 '25 $295 Put
07/01/25,Bought To Open,OPTN,TSLA Jul 03 '25 $295 Put,13,-8614.65,6.62,8.65,TSLA Jul 03 '25 $295 Put
06/30/25,Interest Income,MMF,MSBNK,-0.66,0.66,0,0,MORGAN STANLEY BANK N.A. (Period 06/01-06/30)
06/10/25,Sold To Close,OPTN,TSLA Jul 03 '25 $300 Call,-10,35993.31,36,6.66,TSLA Jul 03 '25 $300 Call
06/05/25,Bought To Open,OPTN,TSLA Jul 03 '25 $300 Call,10,-18156.66,18.15,6.66,TSLA Jul 03 '25 $300 Call
06/05/25,Bought To Cover,OPTN,TSLA Jul 11 '25 $300 Call,10,-20696.66,20.69,6.66,TSLA Jul 11 '25 $300 Call
06/05/25,Sold Short,OPTN,TSLA Jul 11 '25 $300 Call,-10,20663.31,20.67,6.66,TSLA Jul 11 '25 $300 Call



